source_group,price,area_total,rooms,floor,floors_total,address,latitude,longitude,metro,metro_walk_min,kitchen_area,renovation,walls,build_year,ceiling_height,floor_position,elevator,house_number,yard,parking,playground,link,address_source,metro_distance_km,metro_source,distance_to_center_km,distance_to_mkad_km,distance_to_school_km,distance_to_kindergarten_km,distance_to_clinic_km,distance_to_mall_km,price_per_m2,floor_ratio,house_age,has_metro_near,geo_generation_cluster,is_synthetic,generation_method,parent_geo_cluster
2k,17367376.350298893,32.46623801076194,1.0,19.0,21.0,,55.71866325500734,37.745565107609394,,,4.443092955063399,косметический ремонт,панельные,1987.0,2.879022224951378,не угловая,unknown,,двор,"наземный паркинг, гостевой паркинг",есть,synthetic,,,,,,,,,,534936.5191169343,0.9047619047619048,39.0,,18,1,geo_cluster_interpolation,18
all,24164974.923703823,51.034323156095105,2.0,3.0,25.0,,55.71921977713236,37.742638068922595,,,13.654063729435924,евроремонт,монолитные,2006.0,2.6048193614874116,не угловая,unknown,,двор,"гостевой паркинг, парковка во дворе",нет,synthetic,,,,,,,,,,473504.3678308833,0.12,20.0,,18,1,geo_cluster_interpolation,18
all,15484742.799323,47.44717345995858,2.0,14.0,24.0,,55.72331667789117,37.68616413406652,,,18.086787638385324,без отделки,монолитные,2002.0,2.6858276722515324,не угловая,грузовой,,двор,подземный паркинг,нет,synthetic,,,,,,,,,,326357.53976769175,0.5833333333333334,24.0,,18,1,geo_cluster_interpolation,18
studio,6143242.406123866,16.36922824547755,1.0,4.0,6.0,,55.74730250934292,37.73166792916402,,,3.0,евроремонт,кирпичные,2002.0,3.5898934932682836,не угловая,"пассажирский, грузовой",,двор,гостевой паркинг,есть,synthetic,,,,,,,,,,375292.1221451663,0.6666666666666666,24.0,,18,1,geo_cluster_interpolation,18
all-pechatniki,21927547.747226477,43.76784215873202,2.0,56.0,61.0,,55.7059644148657,37.69358163823776,,,10.98863494145689,черновая отделка,монолитно-кирпичный,2025.0,2.845383945340227,не угловая,unknown,,двор,"наземный паркинг, подземный паркинг, гостевой паркинг",нет,synthetic,,,,,,,,,,500996.7744743331,0.9180327868852459,1.0,,18,1,geo_cluster_interpolation,18
2k,17031682.74942165,40.95348687243076,2.0,4.0,6.0,,55.71046194674153,37.742250514006805,,,8.939028279240755,современный ремонт,кирпично-панельные,2006.0,2.7326190070630245,не угловая,unknown,,детская площадка,unknown,нет,synthetic,,,,,,,,,,415878.6967877724,0.6666666666666666,20.0,,18,1,geo_cluster_interpolation,18
2k,13931040.7132735,29.417462940241215,1.0,25.0,28.0,,55.73662194185165,37.74531306583344,,,8.264572345678872,евроремонт,железобетонные панели,2017.0,2.6860521241179085,не угловая,unknown,,детская площадка,unknown,нет,synthetic,,,,,,,,,,473563.63604750985,0.8928571428571429,9.0,,18,1,geo_cluster_interpolation,18
all,13207835.585616216,25.74816363362803,1.0,3.0,18.0,,55.71170468285163,37.69126230753285,,,7.370303941244962,косметический ремонт,монолитные,2017.0,2.7875097447738035,не угловая,грузовой,,двор,подземный паркинг,нет,synthetic,,,,,,,,,,512962.23581421963,0.16666666666666666,9.0,,18,1,geo_cluster_interpolation,18
all-kuzminki,23288859.942117848,49.449518132927665,1.0,9.0,18.0,,55.71740095508868,37.75095611557363,,,7.973916638331177,косметический ремонт,монолитные,2015.0,2.7387955693251906,не угловая,unknown,,детская площадка,unknown,нет,synthetic,,,,,,,,,,470962.3232225221,0.5,11.0,,18,1,geo_cluster_interpolation,18
all,19041008.55360863,38.529587305712695,1.0,16.0,18.0,,55.691774615801855,37.69477992398845,,,9.392616958085398,косметический ремонт,кирпичные,1968.0,2.5891772271366627,не угловая,"пассажирский, грузовой",,двор,unknown,нет,synthetic,,,,,,,,,,494191.86358078284,0.8888888888888888,58.0,,18,1,geo_cluster_interpolation,18
3k,21676330.051166978,56.34589427552233,2.0,10.0,18.0,,55.72729172327611,37.72033681231645,,,13.753039796760339,без отделки,панельные,2002.0,3.065860232059631,угловая,"пассажирский, грузовой",,двор,unknown,нет,synthetic,,,,,,,,,,384701.1451299933,0.5555555555555556,24.0,,18,1,geo_cluster_interpolation,18
all,13315414.430298513,23.019053975464935,1.0,19.0,34.0,,55.72571032436799,37.68782346960967,,,6.985379830269913,чистовая отделка,монолитные,2002.0,2.678206043372342,не угловая,unknown,,детская площадка,unknown,нет,synthetic,,,,,,,,,,578451.8531687213,0.5588235294117647,24.0,,18,1,geo_cluster_interpolation,18
all,5563115.088517049,13.817106278907197,1.0,3.0,6.0,,55.74250656644657,37.70743527247919,,,3.5225913234832684,косметический ремонт,железобетонные,2015.0,2.775701553660208,,unknown,,unknown,unknown,,synthetic,,,,,,,,,,402625.1934538235,0.5,11.0,,18,1,geo_cluster_interpolation,18
all-tekstilshchiki,17863404.822784923,41.884860818962096,2.0,2.0,16.0,,55.71113185654664,37.750073884432254,,,9.183687160757374,без отделки,монолитно-заливные,1975.0,2.675273661147224,не угловая,unknown,,двор,unknown,нет,synthetic,,,,,,,,,,426488.34145577037,0.125,51.0,,18,1,geo_cluster_interpolation,18
all,16308708.47971171,44.361380098308594,2.0,6.0,11.0,,55.68953308891025,37.72394594759288,,,6.9189081974385,евроремонт,панельные,1974.0,2.6445799045434866,не угловая,"пассажирский, грузовой",,двор,наземный паркинг,есть,synthetic,,,,,,,,,,367633.02772750135,0.5454545454545454,52.0,,18,1,geo_cluster_interpolation,18
2k,21858149.77147693,36.0921208203936,1.0,19.0,21.0,,55.736989887646246,37.701570747212614,,,12.691008396815935,unknown,монолитные,2010.0,2.8363979103438592,не угловая,"пассажирский, грузовой, пассажирский и грузовой",,двор,"наземный паркинг, подземный паркинг, гостевой паркинг",есть,synthetic,,,,,,,,,,605621.0960904834,0.9047619047619048,16.0,,18,1,geo_cluster_interpolation,18
all,18714092.588600107,41.04573686540359,1.0,13.0,28.0,,55.726834048649195,37.741165664102944,,,18.150940829834838,черновая отделка,монолитно-каркасные,2002.0,2.64504062428208,не угловая,"пассажирский, грузовой",,двор,подземный паркинг,нет,synthetic,,,,,,,,,,455932.674566594,0.4642857142857143,24.0,,18,1,geo_cluster_interpolation,18
all,19354270.387720846,46.62035753320776,1.0,7.0,29.0,,55.700672473194444,37.712594355729664,,,15.210226941711358,без отделки,монолитные,2001.0,2.6839592254331226,,unknown,,unknown,unknown,,synthetic,,,,,,,,,,415146.33116948465,0.2413793103448276,25.0,,18,1,geo_cluster_interpolation,18
3k,22834342.56158125,59.096163702563224,2.0,27.0,30.0,,55.70484110445512,37.70820598090911,,,7.6228501462349465,черновая отделка,монолитно-кирпичный,2002.0,2.83197893170586,не угловая,пассажирский,,детская площадка,unknown,нет,synthetic,,,,,,,,,,386392.9759723276,0.9,24.0,,18,1,geo_cluster_interpolation,18
all,18960360.236771595,38.24448067097528,1.0,16.0,17.0,,55.69359570426024,37.69462215313347,,,9.444191839057956,косметический ремонт,кирпичные,1970.0,2.59866133015857,не угловая,"пассажирский, грузовой",,двор,unknown,нет,synthetic,,,,,,,,,,495767.2297838548,0.9411764705882353,56.0,,18,1,geo_cluster_interpolation,18
all,15039267.204828871,35.26720198887612,1.0,8.0,17.0,,55.72903437294525,37.71243893002823,,,11.81662419545288,unknown,монолитные,2002.0,2.6789775081365117,не угловая,unknown,,детская площадка,unknown,нет,synthetic,,,,,,,,,,426437.77665073954,0.47058823529411764,24.0,,18,1,geo_cluster_interpolation,18
2k,22977171.100175094,56.25723223428261,3.0,23.0,35.0,,55.71604688037317,37.691831544587714,,,15.49236441056575,улучшенная черновая отделка,монолитные,2017.0,2.684175352544004,,unknown,,unknown,unknown,,synthetic,,,,,,,,,,408430.5286205145,0.6571428571428571,9.0,,18,1,geo_cluster_interpolation,18
studio,7913602.192094752,16.64810478074908,1.0,10.0,12.0,,55.73995360642859,37.71798365031399,,,4.666873251750667,евроремонт,кирпичные,2002.0,3.3529716400672207,не угловая,"пассажирский, грузовой",,двор,гостевой паркинг,есть,synthetic,,,,,,,,,,475345.5300957494,0.8333333333333334,24.0,,18,1,geo_cluster_interpolation,18
1k,19050557.273796584,31.762581469753115,1.0,2.0,27.0,,55.729406629180346,37.745640238587455,,,6.023551464344645,евроремонт,монолитно-каркасные,2002.0,2.6795420895389714,не угловая,пассажирский и грузовой,,детская площадка,unknown,нет,synthetic,,,,,,,,,,599779.8790988716,0.07407407407407407,24.0,,18,1,geo_cluster_interpolation,18
all-novogireevo,15923836.360167617,31.913009667971345,1.0,14.0,15.0,,55.73065888972963,37.717802879897796,,,9.153622241763351,косметический ремонт,кирпичные,1987.0,2.8892514054976335,,unknown,,unknown,unknown,,synthetic,,,,,,,,,,498976.3273925605,0.9333333333333333,39.0,,18,1,geo_cluster_interpolation,18
all-pechatniki,27183714.4548815,65.72524187688288,3.0,32.0,39.0,,55.71378833824454,37.695869687135534,,,11.222965660899307,без отделки,монолитно-кирпичный,2002.0,2.7986580968489463,не угловая,unknown,,двор,"наземный паркинг, подземный паркинг, гостевой паркинг",нет,synthetic,,,,,,,,,,413596.263453884,0.8205128205128205,24.0,,18,1,geo_cluster_interpolation,18
all,22106520.205339212,51.25809341445405,2.0,7.0,18.0,,55.71519241298622,37.71036796130283,,,11.335127819731815,unknown,монолитные,2002.0,2.6632826003731713,,unknown,,unknown,unknown,,synthetic,,,,,,,,,,431278.6280713572,0.3888888888888889,24.0,,18,1,geo_cluster_interpolation,18
all,18897073.867220085,46.62096983722863,1.0,7.0,29.0,,55.70054335568149,37.71273146099496,,,14.962980684130711,без отделки,монолитные,2003.0,2.6726778059023624,,unknown,,unknown,unknown,,synthetic,,,,,,,,,,405334.2076150902,0.2413793103448276,23.0,,18,1,geo_cluster_interpolation,18
all-kuzminki,7927469.211815285,57.239099133034784,,6.0,11.0,,55.7090271232593,37.74759740412667,,,10.24003621661136,косметический ремонт,кирпичные,1976.0,2.66363920025594,,unknown,,unknown,unknown,,synthetic,,,,,,,,,,138497.44897959183,0.5454545454545454,50.0,,18,1,geo_cluster_interpolation,18
all,20791008.69205544,39.26491552324279,1.0,17.0,19.0,,55.68728760259991,37.69613391811577,,,10.059628337874441,косметический ремонт,кирпичные,1966.0,2.520021141573389,не угловая,"пассажирский, грузовой",,двор,unknown,нет,synthetic,,,,,,,,,,529506.0084809872,0.8947368421052632,60.0,,18,1,geo_cluster_interpolation,18
studio,9290727.463263404,22.293532931666935,1.0,11.0,13.0,,55.73936361221358,37.704895414003175,,,7.999733701904635,евроремонт,монолитные,2002.0,2.909703472228021,не угловая,пассажирский,,двор,"гостевой паркинг, наземный паркинг, парковка во дворе",нет,synthetic,,,,,,,,,,416745.40736727975,0.8461538461538461,24.0,,18,1,geo_cluster_interpolation,18
studio,13359164.32233692,29.85477611263171,1.0,6.0,24.0,,55.72383972297136,37.685553304508936,,,7.495689632955331,черновая отделка,монолитные,2002.0,2.6822806838412645,не угловая,грузовой,,двор,подземный паркинг,нет,synthetic,,,,,,,,,,447471.5962342986,0.25,24.0,,18,1,geo_cluster_interpolation,18
all,13773429.135935651,34.37585352945759,1.0,10.0,11.0,,55.73136242679737,37.69875151405643,,,5.959675265492659,требует ремонта / частичный ремонт,кирпичная вставка,2022.0,2.9352554515744993,не угловая,unknown,,двор,подземный паркинг,нет,synthetic,,,,,,,,,,400671.6262079959,0.9090909090909091,4.0,,18,1,geo_cluster_interpolation,18
all,28788813.89736224,53.4453692716791,2.0,14.0,26.0,,55.71808941069382,37.70403682917553,,,12.305273106462298,евроремонт,монолитные,2011.0,2.8647965126458277,не угловая,грузовой,,двор,подземный паркинг,нет,synthetic,,,,,,,,,,538658.7143035709,0.5384615384615384,15.0,,18,1,geo_cluster_interpolation,18
2k,17657906.205076426,43.612726480303024,2.0,5.0,9.0,,55.709388502922096,37.73759826381303,,,11.199714915410903,современный ремонт,кирпично-панельные,2002.0,2.6702094182574885,не угловая,unknown,,детская площадка,unknown,нет,synthetic,,,,,,,,,,404879.6677055109,0.5555555555555556,24.0,,18,1,geo_cluster_interpolation,18
